Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
ORSTED,ORSTED,Utilities,Equity,"1,985,853.14",0.01,"1,985,853.14","46,195.00",42.99,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,7.24,DKK,-
3,HONG KONG AND CHINA GAS LTD,Utilities,Equity,"1,983,208.70",0.01,"1,983,208.70","2,581,040.00",0.77,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
6669,WIWYNN CORPORATION CORP,Information Technology,Equity,"1,983,916.24",0.01,"1,983,916.24","25,000.00",79.36,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,-
APA,APA CORP,Energy,Equity,"1,978,771.84",0.01,"1,978,771.84","83,563.00",23.68,United States,NASDAQ,USD,1.00,USD,-
BSY,BENTLEY SYSTEMS INC CLASS B,Information Technology,Equity,"1,977,662.88",0.01,"1,977,662.88","42,312.00",46.74,United States,NASDAQ,USD,1.00,USD,-
3661,ALCHIP TECHNOLOGIES LTD,Information Technology,Equity,"1,975,570.90",0.01,"1,975,570.90","21,000.00",94.07,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,-
HKD,HKD CASH,Cash and/or Derivatives,Cash,"1,973,187.80",0.01,"1,973,187.80","15,356,630.00",12.85,Hong Kong,-,USD,7.78,HKD,-
MZTF,MIZRAHI TEFAHOT BANK LTD,Financials,Equity,"1,970,883.33",0.01,"1,970,883.33","44,700.00",44.09,Israel,Tel Aviv Stock Exchange,USD,3.66,ILS,-
STN,STANTEC INC,Industrials,Equity,"1,969,069.62",0.01,"1,969,069.62","25,530.00",77.13,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
RED,REDEIA CORPORACION SA,Utilities,Equity,"1,969,475.45",0.01,"1,969,475.45","116,669.00",16.88,Spain,Bolsa De Madrid,USD,0.97,EUR,-
CCL.B,CCL INDUSTRIES INC CLASS B,Materials,Equity,"1,967,266.22",0.01,"1,967,266.22","38,805.00",50.70,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
X,TMX GROUP LTD,Financials,Equity,"1,968,708.98",0.01,"1,968,708.98","64,575.00",30.49,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
TTC,TORO,Industrials,Equity,"1,963,418.75",0.01,"1,963,418.75","24,775.00",79.25,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NAUKRI,INFO EDGE INDIA LTD,Communication,Equity,"1,964,334.17",0.01,"1,964,334.17","21,219.00",92.57,India,National Stock Exchange Of India,USD,85.87,INR,-
G24,SCOUT24 N,Communication,Equity,"1,964,879.18",0.01,"1,964,879.18","21,642.00",90.79,Germany,Xetra,USD,0.97,EUR,-
MTCH,MATCH GROUP INC,Communication,Equity,"1,962,639.72",0.01,"1,962,639.72","61,602.00",31.86,United States,NASDAQ,USD,1.00,USD,-
2269,WUXI BIOLOGICS CAYMAN INC,Health Care,Equity,"1,957,747.04",0.01,"1,957,747.04","900,500.00",2.17,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
ALO,ALSTOM SA,Industrials,Equity,"1,956,392.60",0.01,"1,956,392.60","93,250.00",20.98,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
9633,NONGFU SPRING LTD H,Consumer Staples,Equity,"1,954,925.38",0.01,"1,954,925.38","450,800.00",4.34,China,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
GRASIM,GRASIM INDUSTRIES LTD,Materials,Equity,"1,955,225.05",0.01,"1,955,225.05","69,654.00",28.07,India,National Stock Exchange Of India,USD,85.87,INR,-
BALN,BALOISE HOLDING AG,Financials,Equity,"1,950,576.11",0.01,"1,950,576.11","10,654.00",183.08,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
2603,EVERGREEN MARINE CORP (TAIWAN) LTD,Industrials,Equity,"1,942,917.84",0.01,"1,942,917.84","302,000.00",6.43,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,-
6920,LASERTEC CORP,Information Technology,Equity,"1,943,339.14",0.01,"1,943,339.14","19,800.00",98.15,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
28260,SAMSUNG C&T CORP,Industrials,Equity,"1,941,704.17",0.01,"1,941,704.17","23,517.00",82.57,Korea (South),Korea Exchange (Stock Market),USD,"1,460.65",KRW,-
SLM,SANLAM LIMITED LTD,Financials,Equity,"1,935,221.24",0.01,"1,935,221.24","426,027.00",4.54,South Africa,Johannesburg Stock Exchange,USD,18.90,ZAR,-
INDHOTEL,INDIAN HOTELS LTD,Consumer Discretionary,Equity,"1,932,901.28",0.01,"1,932,901.28","201,710.00",9.58,India,National Stock Exchange Of India,USD,85.87,INR,-
BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,Equity,"1,924,395.44",0.01,"1,924,395.44","5,588.00",344.38,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
BNR,BRENNTAG,Industrials,Equity,"1,920,956.66",0.01,"1,920,956.66","32,721.00",58.71,Germany,Xetra,USD,0.97,EUR,-
SBILIFE,SBI LIFE INSURANCE COMPANY LTD,Financials,Equity,"1,919,600.94",0.01,"1,919,600.94","112,251.00",17.10,India,National Stock Exchange Of India,USD,85.87,INR,-
ALDAR,ALDAR PROPERTIES,Real Estate,Equity,"1,916,346.55",0.01,"1,916,346.55","911,754.00",2.10,United Arab Emirates,Abu Dhabi Securities Exchange,USD,3.67,AED,-
MOS,MOSAIC,Materials,Equity,"1,916,698.16",0.01,"1,916,698.16","77,662.00",24.68,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
CAR,CAR GROUP LTD,Communication,Equity,"1,911,436.44",0.01,"1,911,436.44","81,321.00",23.50,Australia,Asx - All Markets,USD,1.61,AUD,-
2890,SINOPAC FINANCIAL HOLDINGS LTD,Financials,Equity,"1,907,628.46",0.01,"1,907,628.46","2,751,034.00",0.69,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,-
NESTLEIND,NESTLE INDIA LTD,Consumer Staples,Equity,"1,908,473.47",0.01,"1,908,473.47","72,640.00",26.27,India,National Stock Exchange Of India,USD,85.87,INR,-
BIMAS.E,BIM BIRLESIK MAGAZALAR A,Consumer Staples,Equity,"1,906,288.33",0.01,"1,906,288.33","128,669.00",14.82,Turkey,Istanbul Stock Exchange,USD,35.33,TRY,-
AKRBP,AKER BP,Energy,Equity,"1,906,833.99",0.01,"1,906,833.99","88,688.00",21.50,Norway,Oslo Bors Asa,USD,11.40,NOK,-
IVN,IVANHOE MINES LTD CLASS A,Materials,Equity,"1,903,416.90",0.01,"1,903,416.90","159,443.00",11.94,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
BRL,BRL CASH,Cash and/or Derivatives,Cash,"1,900,634.98",0.01,"1,900,634.98","11,537,710.00",16.47,Brazil,-,USD,6.07,BRL,-
TEL,TELENOR,Communication,Equity,"1,896,276.74",0.01,"1,896,276.74","168,426.00",11.26,Norway,Oslo Bors Asa,USD,11.40,NOK,-
